	Entry	Gene Names	Involvement in disease	Organism
10	Q9UIH9	KLF15 KKLF	DISEASE: Note=KLF15 deficiency results in loss of rhythmic QT variation and abnormal heart repolarization (PubMed:22367544). It may play a role in susceptibility to ventricular arrhythmias (PubMed:22367544), and development of pathological cardiac hypertrophy leading to heart failure (PubMed:20375365). {ECO:0000269|PubMed:20375365, ECO:0000269|PubMed:22367544}.	Homo sapiens (Human)
11	P0CAP1	MYZAP MYOZAP	DISEASE: Cardiomyopathy, dilated, 2K (CMD2K) [MIM:620894]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2K is an autosomal recessive form characterized by predominantly left ventricular involvement, although patients with biventricular disease have been observed. {ECO:0000269|PubMed:34899865, ECO:0000269|PubMed:35840178, ECO:0000269|PubMed:38436102}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
12	Q711Q0	CEFIP C10orf71	DISEASE: Cardiomyopathy, dilated, 1QQ (CMD1QQ) [MIM:621251]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD1QQ is an autosomal dominant form. {ECO:0000269|PubMed:38950288}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
13	Q9UL15	BAG5 KIAA0873	DISEASE: Cardiomyopathy, dilated, 2F (CMD2F) [MIM:619747]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2F is an autosomal recessive, early-onset form. {ECO:0000269|PubMed:35044787}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
14	O43681	GET3 ARSA ASNA1 TRC40	DISEASE: Cardiomyopathy, dilated, 2H (CMD2H) [MIM:620203]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2H is an autosomal recessive form characterized by rapid progression and death in early infancy. {ECO:0000269|PubMed:31461301}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
15	P40123	CAP2	DISEASE: Cardiomyopathy, dilated, 2I (CMD2I) [MIM:620462]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2I is an autosomal recessive, severe form characterized by onset in infancy or childhood. {ECO:0000269|PubMed:30518548, ECO:0000269|PubMed:33083013, ECO:0000269|PubMed:34862840}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
16	O95235	KIF20A MKLP2 RAB6KIFL	DISEASE: Cardiomyopathy, familial restrictive 6 (RCM6) [MIM:619433]: A heart disorder characterized by impaired filling of the ventricles with reduced diastolic volume, in the presence of normal or near normal wall thickness and systolic function. RCM6 is an autosomal recessive, severe form characterized by prenatal onset, irreversible heart failure and early death. {ECO:0000269|PubMed:29357359}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
17	P22460	KCNA5	DISEASE: Atrial fibrillation, familial, 7 (ATFB7) [MIM:612240]: A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:16772329}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
18	O75694	NUP155 KIAA0791	DISEASE: Atrial fibrillation, familial, 15 (ATFB15) [MIM:615770]: A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:19070573}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
19	Q9HAZ2	PRDM16 KIAA1675 MEL1 PFM13	DISEASE: Left ventricular non-compaction 8 (LVNC8) [MIM:615373]: A form of left ventricular non-compaction, a cardiomyopathy due to myocardial morphogenesis arrest and characterized by a hypertrophic left ventricle, a severely thickened 2-layered myocardium, numerous prominent trabeculations, deep intertrabecular recesses, and poor systolic function. Clinical manifestations are variable. Some affected individuals experience no symptoms at all, others develop heart failure. In some cases, left ventricular non-compaction is associated with other congenital heart anomalies. LVNC8 is an autosomal dominant condition. {ECO:0000269|PubMed:23768516}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1LL (CMD1LL) [MIM:615373]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:23768516}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=A chromosomal aberration involving PRDM16 is found in myelodysplastic syndrome (MDS) and acute myeloid leukemia (AML). Reciprocal translocation t(1;3)(p36;q21). Isoform 4 is specifically expressed in adult T-cell leukemia. {ECO:0000269|PubMed:11050005, ECO:0000269|PubMed:12557231}.	Homo sapiens (Human)
20	P09493	TPM1 C15orf13 TMSA	DISEASE: Cardiomyopathy, familial hypertrophic, 3 (CMH3) [MIM:115196]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:12974739, ECO:0000269|PubMed:23170982, ECO:0000269|PubMed:7898523, ECO:0000269|PubMed:8205619, ECO:0000269|PubMed:8523464, ECO:0000269|PubMed:9822100}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1Y (CMD1Y) [MIM:611878]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:11273725}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Left ventricular non-compaction 9 (LVNC9) [MIM:611878]: A form of left ventricular non-compaction, a cardiomyopathy due to myocardial morphogenesis arrest and characterized by a hypertrophic left ventricle, a severely thickened 2-layered myocardium, numerous prominent trabeculations, deep intertrabecular recesses, and poor systolic function. Clinical manifestations are variable. Some affected individuals experience no symptoms at all, others develop heart failure. In some cases, left ventricular non-compaction is associated with other congenital heart anomalies. LVNC9 is an autosomal dominant condition. {ECO:0000269|PubMed:21551322}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
21	P12829	MYL4 MLC1 PRO1957	DISEASE: Atrial fibrillation, familial, 18 (ATFB18) [MIM:617280]: A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:27066836}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
22	Q0ZGT2	NEXN	DISEASE: Cardiomyopathy, dilated, 1CC (CMD1CC) [MIM:613122]: An autosomal dominant form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:19881492}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 2M (CMD2M) [MIM:621261]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2M is an autosomal recessive, severe form characterized by fetal or perinatal death or by severe symptoms in infants. {ECO:0000269|PubMed:33949776, ECO:0000269|PubMed:35166435, ECO:0000269|PubMed:38059363}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, familial hypertrophic, 20 (CMH20) [MIM:613876]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:20970104, ECO:0000269|PubMed:32410525}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
23	Q9HAB8	PPCS COAB	DISEASE: Cardiomyopathy, dilated, 2C (CMD2C) [MIM:618189]: A form of dilated cardiomyopathy, a disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. CMD2C is an autosomal recessive form with variable severity and age of onset ranging from 2 to 20 years. Death in infancy or early childhood may occur in severely affected children. {ECO:0000269|PubMed:29754768}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
24	Q14126	DSG2 CDHF5	DISEASE: Arrhythmogenic right ventricular dysplasia, familial, 10 (ARVD10) [MIM:610193]: A congenital heart disease characterized by infiltration of adipose and fibrous tissue into the right ventricle and loss of myocardial cells, resulting in ventricular and supraventricular arrhythmias. {ECO:0000269|PubMed:16505173, ECO:0000269|PubMed:16773573, ECO:0000269|PubMed:19635863, ECO:0000269|PubMed:19863551, ECO:0000269|PubMed:20031617, ECO:0000269|PubMed:21062920, ECO:0000269|PubMed:30391969, ECO:0000269|PubMed:30454721, ECO:0000269|PubMed:31845994, ECO:0000269|PubMed:33917638, ECO:0000269|PubMed:38375917}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1BB (CMD1BB) [MIM:612877]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:18678517}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
25	Q86YT6	MIB1 DIP1 KIAA1323 ZZANK2	DISEASE: Left ventricular non-compaction 7 (LVNC7) [MIM:615092]: A form of left ventricular non-compaction, a cardiomyopathy due to myocardial morphogenesis arrest and characterized by a hypertrophic left ventricle, a severely thickened 2-layered myocardium, numerous prominent trabeculations, deep intertrabecular recesses, and poor systolic function. Clinical manifestations are variable. Some affected individuals experience no symptoms at all, others develop heart failure. In some cases, left ventricular non-compaction is associated with other congenital heart anomalies. LVNC7 is an autosomal dominant condition. {ECO:0000269|PubMed:23314057}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
26	P19429	TNNI3 TNNC1	DISEASE: Cardiomyopathy, familial hypertrophic, 7 (CMH7) [MIM:613690]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:11815426, ECO:0000269|PubMed:12707239, ECO:0000269|PubMed:12974739, ECO:0000269|PubMed:16199542, ECO:0000269|PubMed:9241277}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, familial restrictive 1 (RCM1) [MIM:115210]: A heart disorder characterized by impaired filling of the ventricles with reduced diastolic volume, in the presence of normal or near normal wall thickness and systolic function. {ECO:0000269|PubMed:12531876}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 2A (CMD2A) [MIM:611880]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:19590045, ECO:0000269|PubMed:21846512}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1FF (CMD1FF) [MIM:613286]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:19590045, ECO:0000269|PubMed:21846512}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
27	Q14896	MYBPC3	DISEASE: Cardiomyopathy, familial hypertrophic, 4 (CMH4) [MIM:115197]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:11499718, ECO:0000269|PubMed:11499719, ECO:0000269|PubMed:11815426, ECO:0000269|PubMed:12379228, ECO:0000269|PubMed:12628722, ECO:0000269|PubMed:12707239, ECO:0000269|PubMed:12818575, ECO:0000269|PubMed:12951062, ECO:0000269|PubMed:12974739, ECO:0000269|PubMed:14563344, ECO:0000269|PubMed:15114369, ECO:0000269|PubMed:15519027, ECO:0000269|PubMed:15563892, ECO:0000269|PubMed:16004897, ECO:0000269|PubMed:16199542, ECO:0000269|PubMed:18403758, ECO:0000269|PubMed:18929575, ECO:0000269|PubMed:18957093, ECO:0000269|PubMed:23840593, ECO:0000269|PubMed:28265379, ECO:0000269|PubMed:7744002, ECO:0000269|PubMed:9048664, ECO:0000269|PubMed:9541104, ECO:0000269|PubMed:9541115, ECO:0000269|PubMed:9562578}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1MM (CMD1MM) [MIM:615396]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:20215591}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=MYBPC3 mutations may be involved in restrictive cardiomyopathy (RCM), a rare non-ischemic myocardial disease. RCM is characterized by restrictive ventricular-filling physiology in the presence of normal or reduced diastolic and/or systolic volumes (of 1 or both ventricles), biatrial enlargement, and normal ventricular wall thickness. {ECO:0000269|PubMed:26163040}.; DISEASE: Left ventricular non-compaction 10 (LVNC10) [MIM:615396]: A form of left ventricular non-compaction, a cardiomyopathy due to myocardial morphogenesis arrest and characterized by a hypertrophic left ventricle, a severely thickened 2-layered myocardium, numerous prominent trabeculations, deep intertrabecular recesses, and poor systolic function. Clinical manifestations are variable. Some affected individuals experience no symptoms at all, others develop heart failure. In some cases, left ventricular non-compaction is associated with other congenital heart anomalies. LVNC10 is an autosomal dominant condition. {ECO:0000269|PubMed:21551322}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
28	P50461	CSRP3 CLP MLP	DISEASE: Cardiomyopathy, dilated, 1M (CMD1M) [MIM:607482]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:12507422, ECO:0000269|PubMed:18505755, ECO:0000269|PubMed:19412328}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, familial hypertrophic, 12 (CMH12) [MIM:612124]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:12642359, ECO:0000269|PubMed:15205937, ECO:0000269|PubMed:18505755, ECO:0000269|PubMed:27353086}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
29	O60939	SCN2B UNQ326/PRO386	DISEASE: Atrial fibrillation, familial, 14 (ATFB14) [MIM:615378]: A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:19808477}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=Genetic variations in SCN2B may be involved in Brugada syndrome (PubMed:23559163). This tachyarrhythmia is characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset. {ECO:0000269|PubMed:23559163}.	Homo sapiens (Human)
30	Q8IWT1	SCN4B	DISEASE: Long QT syndrome 10 (LQT10) [MIM:611819]: A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. {ECO:0000269|PubMed:17592081}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Atrial fibrillation, familial, 17 (ATFB17) [MIM:611819]: A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:23604097}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
31	Q92629	SGCD	DISEASE: Muscular dystrophy, limb-girdle, autosomal recessive 6 (LGMDR6) [MIM:601287]: An autosomal recessive degenerative myopathy initially affecting the proximal limb girdle musculature. Muscle from patients shows a complete loss of delta-sarcoglycan as well as of the others components of the sarcoglycan complex. {ECO:0000269|PubMed:9832045}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, dilated, 1L (CMD1L) [MIM:606685]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:10974018}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
32	P18206	VCL	DISEASE: Cardiomyopathy, dilated, 1W (CMD1W) [MIM:611407]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:11815424, ECO:0000269|PubMed:16236538}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, familial hypertrophic, 15 (CMH15) [MIM:613255]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:16712796}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
33	P26678	PLN PLB	DISEASE: Cardiomyopathy, dilated, 1P (CMD1P) [MIM:609909]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:12610310, ECO:0000269|PubMed:16432188, ECO:0000269|PubMed:22137083, ECO:0000269|PubMed:22427649, ECO:0000269|PubMed:22707725}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, familial hypertrophic, 18 (CMH18) [MIM:613874]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:12705874}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
34	P63316	TNNC1 TNNC	DISEASE: Cardiomyopathy, dilated, 1Z (CMD1Z) [MIM:611879]: A disorder characterized by ventricular dilation and impaired systolic function, resulting in congestive heart failure and arrhythmia. Patients are at risk of premature death. {ECO:0000269|PubMed:15542288}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Cardiomyopathy, familial hypertrophic, 13 (CMH13) [MIM:613243]: A hereditary heart disorder characterized by ventricular hypertrophy, which is usually asymmetric and often involves the interventricular septum. The symptoms include dyspnea, syncope, collapse, palpitations, and chest pain. They can be readily provoked by exercise. The disorder has inter- and intrafamilial variability ranging from benign to malignant forms with high risk of cardiac failure and sudden cardiac death. {ECO:0000269|PubMed:11385718, ECO:0000269|PubMed:16302972, ECO:0000269|PubMed:18572189, ECO:0000269|PubMed:19439414}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
35	Q9Y6J6	KCNE2	DISEASE: Long QT syndrome 6 (LQT6) [MIM:613693]: A heart disorder characterized by a prolonged QT interval on the ECG and polymorphic ventricular arrhythmias. They cause syncope and sudden death in response to exercise or emotional stress, and can present with a sentinel event of sudden cardiac death in infancy. {ECO:0000269|PubMed:10219239, ECO:0000269|PubMed:12185453, ECO:0000269|PubMed:16922724, ECO:0000269|PubMed:19716085}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Atrial fibrillation, familial, 4 (ATFB4) [MIM:611493]: A familial form of atrial fibrillation, a common sustained cardiac rhythm disturbance. Atrial fibrillation is characterized by disorganized atrial electrical activity and ineffective atrial contraction promoting blood stasis in the atria and reduces ventricular filling. It can result in palpitations, syncope, thromboembolic stroke, and congestive heart failure. {ECO:0000269|PubMed:15368194}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
