	Entry	Gene Names	Involvement in disease	Organism
12	P55916	UCP3 SLC25A9	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:9769326, ECO:0000269|Ref.16}. Note=The gene represented in this entry may be involved in disease pathogenesis.	Homo sapiens (Human)
13	Q96LK0	CEP19 C3orf34 HSD5	DISEASE: Morbid obesity and spermatogenic failure (MOSPGF) [MIM:615703]: An autosomal recessive morbid obesity syndrome characterized by hypertension, fatty liver disease, insulin resistance, and decreased sperm counts. Variable clinical manifestations are early coronary artery disease with myocardial infarction before 45 years of age, type II diabetes mellitus, and intellectual disability. Morbid obese individuals are defined as having a BMI greater than 40. {ECO:0000269|PubMed:24268657}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
14	Q7Z7G8	VPS13B CHS1 COH1 KIAA0532	DISEASE: Cohen syndrome (COH1) [MIM:216550]: A rare autosomal recessive disorder characterized by obesity, hypotonia, intellectual deficit, characteristic craniofacial dysmorphism and abnormalities of the hands and feet. Characteristic facial features include high-arched or wave-shaped eyelids, a short philtrum, thick hair and low hairline. {ECO:0000269|PubMed:12730828, ECO:0000269|PubMed:15141358, ECO:0000269|PubMed:15154116, ECO:0000269|PubMed:15211651, ECO:0000269|PubMed:16648375, ECO:0000269|PubMed:19006247, ECO:0000269|PubMed:19190672, ECO:0000269|PubMed:19533689, ECO:0000269|PubMed:21865173, ECO:0000269|PubMed:23188044, ECO:0000269|PubMed:24334764, ECO:0000269|PubMed:26358774, ECO:0000269|PubMed:29149870, ECO:0000269|PubMed:31444703, ECO:0000269|PubMed:31580008, ECO:0000269|PubMed:31752730, ECO:0000269|PubMed:31825161, ECO:0000269|PubMed:32170714, ECO:0000269|PubMed:32402540, ECO:0000269|PubMed:32505691, ECO:0000269|PubMed:32560273, ECO:0000269|PubMed:32605629, ECO:0000269|PubMed:33025479, ECO:0000269|PubMed:33959574, ECO:0000269|PubMed:34041686, ECO:0000269|PubMed:34322253, ECO:0000269|PubMed:34385517, ECO:0000269|PubMed:34484844, ECO:0000269|PubMed:34840762, ECO:0000269|PubMed:34898996}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
15	Q9UL62	TRPC5 TRP5	DISEASE: Note=Loss-of-function variants in TRPC5 may be involved in a mental disorder characterized by maladaptive behavior, anxiety, autism, postpartum depression, extreme food-seeking and hoarding behavior, hyperphagia and obesity. {ECO:0000269|PubMed:38959890}.	Homo sapiens (Human)
16	Q9UN76	SLC6A14	DISEASE: Note=Genetic variations in SLC6A14 may be associated with obesity in some populations, as shown by significant differences in allele frequencies between obese and non-obese individuals. {ECO:0000269|PubMed:14660737, ECO:0000269|PubMed:14660752}.	Homo sapiens (Human)
17	Q8TEH3	DENND1A FAM31A KIAA1608	DISEASE: Note=Genetic variants in DENND1A may play a role in susceptibility to polycystic ovary syndrome (PCOS), the most common endocrine disease among premenopausal women. PCOS is a complex disorder characterized by infertility, hirsutism, obesity, various menstrual disturbances, and enlarged ovaries studded with atretic follicles. {ECO:0000269|PubMed:22180642, ECO:0000269|PubMed:23208300, ECO:0000269|PubMed:24086769, ECO:0000269|PubMed:25626177}.	Homo sapiens (Human)
18	Q9C0B1	FTO KIAA1752	DISEASE: Growth retardation, developmental delay, and facial dysmorphism (GDFD) [MIM:612938]: A severe polymalformation syndrome characterized by postnatal growth retardation, microcephaly, severe psychomotor delay, functional brain deficits and characteristic facial dysmorphism. In some patients, structural brain malformations, cardiac defects, genital anomalies, and cleft palate are observed. Early death occurs by the age of 3 years. {ECO:0000269|PubMed:19559399, ECO:0000269|PubMed:22002720, ECO:0000269|PubMed:26378117, ECO:0000269|PubMed:26697951}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:24646999, ECO:0000269|PubMed:26287746}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. It is unclear whether variations associated with obesity directly affect FTO function or alter the expression of adjacent genes such as IRX3, rather than FTO itself (PubMed:24646999, PubMed:26287746). A pathogenic intronic FTO variation (rs1421085) disrupts an evolutionarily conserved motif for ARID5B binding (PubMed:26287746). Loss of ARID5B binding results in overexpression of two genes distal to FTO, IRX3 and IRX5. IRX3 and IRX5 overexpression shifts pre-adipocytes differentiation from brown to white fat cells, resulting in increased lipid storage and loss of mitochondrial thermogenesis (PubMed:26287746). {ECO:0000269|PubMed:24646999, ECO:0000269|PubMed:26287746}.	Homo sapiens (Human)
19	O15119	TBX3	DISEASE: Ulnar-mammary syndrome (UMS) [MIM:181450]: Characterized by ulnar ray defects, obesity, hypogenitalism, delayed puberty, hypoplasia of nipples and apocrine glands. {ECO:0000269|PubMed:10330342, ECO:0000269|PubMed:12000749}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
20	P42127	ASIP AGTI AGTIL ASP	DISEASE: Obesity and hypopigmentation (OBHP) [MIM:620195]: An autosomal dominant disorder characterized by early-onset obesity, overgrowth, hyperinsulinemia, and hypopigmentation of the skin. Some affected individuals experience hyperphagia and exhibit reduced energy expenditure. {ECO:0000269|PubMed:36536132}. Note=The gene represented in this entry is involved in disease pathogenesis. A tandem duplication on chromosome 20 encompassing the neighboring genes ASIP and ITCH creates an ITCH-ASIP transcript consisting of the first two non-coding ITCH exons fused to the ASIP coding exons. This results in ASIP ectopic overexpression controlled by the ubiquitously active ITCH promoter. Ectopically expressed ASIP may antagonize MC4R signaling in the hypothalamus and may affect processes related to eating behavior and energy expenditure. {ECO:0000269|PubMed:36536132}.	Homo sapiens (Human)
21	Q9ULH0	KIDINS220 ARMS KIAA1250	DISEASE: Spastic paraplegia, intellectual disability, nystagmus, and obesity (SINO) [MIM:617296]: An autosomal dominant syndrome characterized by rapid growth in infancy, obesity, global developmental delay, intellectual disability, spastic paraplegia, ocular defects, and dysmorphic facial features. {ECO:0000269|PubMed:27005418}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Ventriculomegaly and arthrogryposis (VENARG) [MIM:619501]: An autosomal recessive disorder with fatal outcome, characterized by prenatal onset of severe features including limb contractures, arthrogryposis, and enlarged brain ventricles that may be associated with hydrocephalus, abnormalities of the corpus callosum, and cerebellar hypoplasia. Some affected fetuses may also have congenital heart disease and hydrops fetalis. Death occurs in utero. {ECO:0000269|PubMed:28934391, ECO:0000269|PubMed:32909676, ECO:0000269|PubMed:33205811}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
22	Q5T2R2	PDSS1 DPS1 TPRT	DISEASE: Coenzyme Q10 deficiency, primary, 2 (COQ10D2) [MIM:614651]: An autosomal recessive multisystem disorder characterized by early-onset deafness, optic atrophy, mild intellectual disability, peripheral neuropathy, obesity, livedo reticularis, and cardiac valvulopathy. {ECO:0000269|PubMed:17332895}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
23	Q14669	TRIP12 KIAA0045 ULF	DISEASE: Clark-Baraitser syndrome (CLABARS) [MIM:617752]: An autosomal dominant disease characterized by intellectual disability, delayed psychomotor development, behavioral abnormalities, variable dysmorphic facial features, tall stature, obesity, and macrocephaly. {ECO:0000269|PubMed:27848077, ECO:0000269|PubMed:28251352}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
24	Q16620	NTRK2 TRKB	DISEASE: Developmental and epileptic encephalopathy 58 (DEE58) [MIM:617830]: A form of epileptic encephalopathy, a heterogeneous group of severe early-onset epilepsies characterized by refractory seizures, neurodevelopmental impairment, and poor prognosis. Development is normal prior to seizure onset, after which cognitive and motor delays become apparent. DEE58 is an autosomal dominant condition characterized by onset of refractory seizures in the first days or months of life. {ECO:0000269|PubMed:29100083}. Note=The disease may be caused by variants affecting the gene represented in this entry.; DISEASE: Obesity, hyperphagia, and developmental delay (OBHD) [MIM:613886]: A disorder characterized by early-onset obesity, hyperphagia, and severe developmental delay in motor function, speech, and language. {ECO:0000269|PubMed:15494731, ECO:0000269|PubMed:27884935, ECO:0000269|PubMed:29100083}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
25	P29120	PCSK1 NEC1	DISEASE: Proprotein convertase 1 deficiency (PC1 deficiency) [MIM:600955]: Characterized by obesity, hypogonadism, hypoadrenalism, reactive hypoglycemia as well as marked small-intestinal absorptive dysfunction It is due to impaired processing of prohormones. {ECO:0000269|PubMed:14617756, ECO:0000269|PubMed:17595246, ECO:0000269|PubMed:9207799}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
26	P21554	CNR1 CNR	DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:18177726}. Note=The protein represented in this entry may be involved in disease pathogenesis. May contribute to the development of diet-induced obesity and several obesity-associated features, such as dyslipidemia and liver steatosis, regulating peripheral lipogenesis, energy expenditure and feeding behavior. CNR1 inverse agonists have been shown to reduce body weight and improve metabolic abnormalities in obese subjects, although adverse neuropsychiatric effects, including anxiety, irritability, and depressed mood, halted their therapeutic development (PubMed:18177726). In obese mice, peripherally restricted CNR1 inverse agonists have been shown to normalize metabolic abnormalities, including insulin resistance and fatty liver, and to reverse leptin resistance. {ECO:0000269|PubMed:18177726}.; DISEASE: Note=Dysfunction of the endogenous cannabinoid system including CNR1 has been implicated in the pathogenesis of a number of central nervous system disorders, including Huntington disease, Parkinson disease, and Alzheimer disease (PubMed:32549916). In post-mortem brains from Huntington disease patients, a progressive CNR1 loss has been observed in the caudate nucleus, putamen, and substantia nigra pars reticulata, and altered expression and abnormal endocannabinoid levels precede motor symptoms in a disease mouse model (PubMed:10828533, PubMed:19524019, PubMed:8255419). In Parkinson disease, low CNR1 expression in mid-superior frontal gyrus and mid-cingulate cortex has been associated with poor mind, poor executive functioning and poor episode memory, while patients with more severe visuospatial dysfunction showed decreased receptor availability in the precuneus, mid-cingulate, supplementary motor cortex, inferior orbitofrontal gyrus and thalamus (PubMed:31342135). In an animal model for Alzheimer disease, CNR1 heterozygous deletion has been associated with decreased levels of postsynaptic density protein 95 (DLG4/PSD95) and accelerated memory impairment, suggesting synaptic dysfunction and a crucial role for CNR1 in the progression of disease symptoms (PubMed:10828533, PubMed:19524019, PubMed:30096288, PubMed:31342135, PubMed:8255419). {ECO:0000269|PubMed:10828533, ECO:0000269|PubMed:19524019, ECO:0000269|PubMed:30096288, ECO:0000269|PubMed:31342135, ECO:0000269|PubMed:32549916, ECO:0000269|PubMed:8255419}.	Homo sapiens (Human)
27	P16870	CPE	DISEASE: BDV syndrome (BDVS) [MIM:619326]: An autosomal recessive disorder characterized by obesity, intellectual disability, and hypogonadotropic hypogonadism. Additional variable features include central hypothyroidism, hypotonia, and developmental delay. {ECO:0000269|PubMed:32936766, ECO:0000269|PubMed:34383079}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
28	P41091	EIF2S3 EIF2G	DISEASE: MEHMO syndrome (MEHMO) [MIM:300148]: An X-linked recessive syndrome characterized by intellectual disability, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, and obesity. {ECO:0000269|PubMed:23063529, ECO:0000269|PubMed:27333055, ECO:0000269|PubMed:28055140, ECO:0000269|PubMed:30517694, ECO:0000269|PubMed:32799315}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Note=Defects in EIF2S3 are the cause of hypopituitarism with glucose dysregulation. {ECO:0000269|PubMed:30878599}.	Homo sapiens (Human)
29	Q6PCE3	PGM2L1 BM32A	DISEASE: Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skin abnormalities (NEDHFS) [MIM:620191]: An autosomal recessive neurodevelopmental disorder characterized by severe developmental and speech delay, dysmorphic facial features, ear anomalies, high arched palate, strabismus, hypotonia, and keratosis pilaris. Early obesity and seizures may be present in affected individuals. {ECO:0000269|PubMed:33979636}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
30	Q8TCU4	ALMS1 KIAA0328	DISEASE: Alstrom syndrome (ALMS) [MIM:203800]: A rare autosomal recessive disorder characterized by progressive cone-rod retinal dystrophy, neurosensory hearing loss, early childhood obesity and diabetes mellitus type 2. Dilated cardiomyopathy, acanthosis nigricans, male hypogonadism, hypothyroidism, developmental delay and hepatic dysfunction can also be associated with the syndrome. {ECO:0000269|PubMed:11941369, ECO:0000269|PubMed:11941370}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
31	Q7Z7M0	MEGF8 C19orf49 EGFL4 KIAA0817	DISEASE: Carpenter syndrome 2 (CRPT2) [MIM:614976]: An autosomal recessive multiple congenital malformation disorder characterized by multisuture craniosynostosis and polysyndactyly of the hands and feet, in association with abnormal left-right patterning and other features, most commonly obesity, umbilical hernia, cryptorchidism, and congenital heart disease. {ECO:0000269|PubMed:23063620}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
32	Q9Y4W2	LAS1L MSTP060	DISEASE: Intellectual developmental disorder, X-linked, syndromic, Wilson-Turner type (WTS) [MIM:309585]: A neurologic disorder characterized by severe intellectual disability, dysmorphic facial features, hypogonadism, short stature, and truncal obesity. Affected females have a milder phenotype than affected males. {ECO:0000269|PubMed:25644381}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
33	P49459	UBE2A RAD6A	DISEASE: Intellectual developmental disorder, X-linked, syndromic, Nascimento-type (MRXSN) [MIM:300860]: A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. MRXSN features include dysmorphic facies, hirsutism, skin and nails abnormalities, obesity, speech anomalies and seizures. {ECO:0000269|PubMed:16909393, ECO:0000269|PubMed:20412111, ECO:0000269|PubMed:23685073, ECO:0000269|PubMed:28611923, ECO:0000269|PubMed:33368912}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
34	Q9Y2R0	COA3 CCDC56 MITRAC12 HSPC009	DISEASE: Mitochondrial complex IV deficiency, nuclear type 14 (MC4DN14) [MIM:619058]: An autosomal recessive mitochondrial disorder with onset in early childhood. MC4DN14 is characterized by developmental delay, cognitive impairment, motor delay, abnormal gait, sensorimotor demyelinating polyneuropathy, exercise intolerance, obesity, and short stature. Serum lactate levels are marginally increased. Patient tissues show decreased levels and activity of mitochondrial respiratory complex IV. {ECO:0000269|PubMed:25604084}. Note=The disease may be caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
35	Q15848	ADIPOQ ACDC ACRP30 APM1 GBP28	DISEASE: Adiponectin deficiency (ADPOD) [MIM:612556]: An autosomal dominant condition characterized by very low concentrations of plasma adiponectin. Levels of adiponectin are decreased in obesity and may contribute to a chronic state of inflammation that leads to insulin resistance, type 2 diabetes, coronary artery disease, myocardial infarction, non-alcoholic steatohepatitis, and kidney disease. {ECO:0000269|PubMed:10918532, ECO:0000269|PubMed:11812766, ECO:0000269|PubMed:12086969}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
36	Q8IWS0	PHF6 CENP-31 KIAA1823	DISEASE: Boerjeson-Forssman-Lehmann syndrome (BFLS) [MIM:301900]: An X-linked recessive disorder characterized by moderate to severe intellectual disability, epilepsy, hypogonadism, hypometabolism, obesity with marked gynecomastia, swelling of subcutaneous tissue of the face, narrow palpebral fissure and large but not deformed ears. {ECO:0000269|PubMed:12415272, ECO:0000269|PubMed:23229552, ECO:0000269|PubMed:23906836}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
37	Q9UJ55	MAGEL2 NDNL1	DISEASE: Schaaf-Yang syndrome (SHFYNG) [MIM:615547]: A disease characterized by clinical features of Prader-Willi syndrome, including neonatal hypotonia with poor suck, feeding problems in infancy, obesity, developmental delay, short stature, and hypogonadism. Additionally, patients manifest autism spectrum disorder. Some patients have dysmorphic facial features. {ECO:0000269|PubMed:24076603}. Note=The disease is caused by variants affecting the gene represented in this entry. All mutations occurred on the paternal allele.	Homo sapiens (Human)
38	Q9UHB7	AFF4 AF5Q31 MCEF HSPC092	DISEASE: Note=A chromosomal aberration involving AFF4 is found in acute lymphoblastic leukemia (ALL). Insertion ins(5;11)(q31;q13q23) that forms a KMT2A/MLL1-AFF4 fusion protein.; DISEASE: CHOPS syndrome (CHOPS) [MIM:616368]: A syndrome characterized by cognitive impairment, coarse facies, heart defects, obesity, pulmonary involvement, short stature, and skeletal dysplasia. {ECO:0000269|PubMed:25730767}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
39	Q9NRR6	INPP5E	DISEASE: Joubert syndrome 1 (JBTS1) [MIM:213300]: A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease. {ECO:0000269|PubMed:19668216, ECO:0000269|PubMed:23034536, ECO:0000269|PubMed:23386033, ECO:0000269|PubMed:29052317}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Impaired intellectual development, truncal obesity, retinal dystrophy, and micropenis (MORMS) [MIM:610156]: An autosomal recessive disorder characterized by moderate intellectual disability, truncal obesity, congenital non-progressive retinal dystrophy, and micropenis in males. The phenotype is similar to Bardet-Biedl syndrome and Cohen syndrome. Distinguishing features are the age of onset, the non-progressive nature of the visual impairment, lack of dysmorphic facies, skin or gingival infection, microcephaly, mottled retina, polydactyly, and testicular anomalies. {ECO:0000269|PubMed:19668215}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
40	Q96BD5	PHF21A BHC80 KIAA1696 BM-006	DISEASE: Intellectual developmental disorder with behavioral abnormalities and craniofacial dysmorphism with or without seizures (IDDBCS) [MIM:618725]: An autosomal dominant neurodevelopmental disorder characterized by impaired intellectual development, developmental delay of varying severity, impaired motor skills and language delay. Additional clinical features include macrocephaly, obesity, overgrowth, craniofacial dysmorphism, epilepsy, and variable behavioral manifestations including autism and attention deficit-hyperactivity disorder. {ECO:0000269|PubMed:30487643, ECO:0000269|PubMed:31649809}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
41	Q96C12	ARMC5	DISEASE: ACTH-independent macronodular adrenal hyperplasia 2 (AIMAH2) [MIM:615954]: A form of macronodular adrenal hyperplasia characterized by multiple, bilateral, non-pigmented, benign, adrenocortical nodules. It results in excessive production of cortisol leading to ACTH-independent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes. {ECO:0000269|PubMed:24283224, ECO:0000269|PubMed:24601692, ECO:0000269|PubMed:24708098, ECO:0000269|PubMed:24905064, ECO:0000269|PubMed:25822102, ECO:0000269|PubMed:25853793, ECO:0000269|PubMed:26604299, ECO:0000269|PubMed:27094308, ECO:0000269|PubMed:28458897, ECO:0000269|PubMed:28676429, ECO:0000269|PubMed:29343284, ECO:0000269|PubMed:29370219, ECO:0000269|PubMed:29587644, ECO:0000269|PubMed:31555754, ECO:0000269|PubMed:32023208, ECO:0000269|PubMed:32117062, ECO:0000269|PubMed:32713866, ECO:0000269|PubMed:32934851, ECO:0000269|PubMed:33105102, ECO:0000269|PubMed:33971873, ECO:0000269|PubMed:35368666, ECO:0000269|PubMed:35862218, ECO:0000269|PubMed:35996143, ECO:0000269|PubMed:36553033, ECO:0000269|PubMed:38225631}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
42	Q9UKM7	MAN1B1 UNQ747/PRO1477	DISEASE: Rafiq syndrome (RAFQS) [MIM:614202]: An autosomal recessive disorder characterized by variably impaired intellectual and motor development, a characteristic facial dysmorphism, truncal obesity, and hypotonia. The facial dysmorphism comprises prominent eyebrows with lateral thinning, downward-slanting palpebral fissures, bulbous tip of the nose, large ears, and a thin upper lip. Behavioral problems, including overeating, verbal and physical aggression, have been reported in some cases. Serum transferrin isoelectric focusing shows a type 2 pattern. {ECO:0000269|PubMed:21763484}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
43	Q9BUN5	CCDC28B	DISEASE: Bardet-Biedl syndrome (BBS) [MIM:209900]: A syndrome characterized by usually severe pigmentary retinopathy, early-onset obesity, polydactyly, hypogenitalism, renal malformation and intellectual disability. Secondary features include diabetes mellitus, hypertension and congenital heart disease. Bardet-Biedl syndrome inheritance is autosomal recessive, but three mutated alleles (two at one locus, and a third at a second locus) may be required for clinical manifestation of some forms of the disease. {ECO:0000269|PubMed:16327777}. Note=The gene represented in this entry acts as a disease modifier.	Homo sapiens (Human)
44	P37231	PPARG NR1C3	DISEASE: Note=Defects in PPARG can lead to type 2 insulin-resistant diabetes and hyptertension. PPARG mutations may be associated with colon cancer. {ECO:0000269|PubMed:10394368}.; DISEASE: Obesity (OBESITY) [MIM:601665]: A condition characterized by an increase of body weight beyond the limitation of skeletal and physical requirements, as the result of excessive accumulation of body fat. {ECO:0000269|PubMed:9753710}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry.; DISEASE: Lipodystrophy, familial partial, 3 (FPLD3) [MIM:604367]: An autosomal dominant form of lipodystrophy characterized by marked loss of subcutaneous fat from the extremities. Facial adipose tissue may be increased, decreased or normal. Affected individuals show an increased preponderance of insulin resistance, diabetes mellitus and dyslipidemia. {ECO:0000269|PubMed:11788685, ECO:0000269|PubMed:12453919}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Glioma 1 (GLM1) [MIM:137800]: Gliomas are benign or malignant central nervous system neoplasms derived from glial cells. They comprise astrocytomas and glioblastoma multiforme that are derived from astrocytes, oligodendrogliomas derived from oligodendrocytes and ependymomas derived from ependymocytes. {ECO:0000269|PubMed:10851250}. Note=Disease susceptibility may be associated with variants affecting the gene represented in this entry. Polymorphic PPARG alleles have been found to be significantly over-represented among a cohort of American patients with sporadic glioblastoma multiforme suggesting a possible contribution to disease susceptibility.	Homo sapiens (Human)
